year,global_temp,country,city,malaysia_temp
1825,8.39,Malaysia,Kuala Lumpur,26.46
1826,8.36,Malaysia,Kuala Lumpur,
1827,8.81,Malaysia,Kuala Lumpur,
1828,8.17,Malaysia,Kuala Lumpur,
1829,7.94,Malaysia,Kuala Lumpur,
1830,8.52,Malaysia,Kuala Lumpur,
1831,7.64,Malaysia,Kuala Lumpur,
1832,7.45,Malaysia,Kuala Lumpur,
1833,8.01,Malaysia,Kuala Lumpur,
1834,8.15,Malaysia,Kuala Lumpur,
1835,7.39,Malaysia,Kuala Lumpur,
1836,7.70,Malaysia,Kuala Lumpur,
1837,7.38,Malaysia,Kuala Lumpur,
1838,7.51,Malaysia,Kuala Lumpur,
1839,7.63,Malaysia,Kuala Lumpur,25.74
1840,7.80,Malaysia,Kuala Lumpur,25.96
1841,7.69,Malaysia,Kuala Lumpur,26.10
1842,8.02,Malaysia,Kuala Lumpur,26.18
1843,8.17,Malaysia,Kuala Lumpur,26.25
1844,7.65,Malaysia,Kuala Lumpur,25.77
1845,7.85,Malaysia,Kuala Lumpur,25.64
1846,8.55,Malaysia,Kuala Lumpur,26.44
1847,8.09,Malaysia,Kuala Lumpur,25.89
1848,7.98,Malaysia,Kuala Lumpur,
1849,7.98,Malaysia,Kuala Lumpur,
1850,7.90,Malaysia,Kuala Lumpur,26.06
1851,8.18,Malaysia,Kuala Lumpur,26.13
1852,8.10,Malaysia,Kuala Lumpur,26.02
1853,8.04,Malaysia,Kuala Lumpur,26.26
1854,8.21,Malaysia,Kuala Lumpur,25.98
1855,8.11,Malaysia,Kuala Lumpur,26.12
1856,8.00,Malaysia,Kuala Lumpur,26.21
1857,7.76,Malaysia,Kuala Lumpur,
1858,8.10,Malaysia,Kuala Lumpur,26.21
1859,8.25,Malaysia,Kuala Lumpur,26.27
1860,7.96,Malaysia,Kuala Lumpur,25.97
1861,7.85,Malaysia,Kuala Lumpur,25.93
1862,7.56,Malaysia,Kuala Lumpur,
1863,8.11,Malaysia,Kuala Lumpur,26.11
1864,7.98,Malaysia,Kuala Lumpur,25.95
1865,8.18,Malaysia,Kuala Lumpur,26.22
1866,8.29,Malaysia,Kuala Lumpur,26.22
1867,8.44,Malaysia,Kuala Lumpur,26.12
1868,8.25,Malaysia,Kuala Lumpur,26.14
1869,8.43,Malaysia,Kuala Lumpur,25.95
1870,8.20,Malaysia,Kuala Lumpur,25.59
